supplier_country,supplier_region,political_stability_index,infrastructure_score,natural_disaster_frequency,corruption_index,conflict_score,sanctions_exposure,export_restriction_risk,diplomatic_relations_score,distance_km,is_landlocked,supplier_tenure_years,contract_type,communication_responsiveness_hours,num_alternative_suppliers,supplier_tier,quality_incidents,audit_score,iso_certified,regulatory_violations,financial_stability_index,debt_to_equity,payment_delay_days,dependency_ratio,revenue_trend_yoy,num_employees,on_time_delivery_rate,avg_lead_time_days,lead_time_variability,order_fulfillment_rate,capacity_utilization,past_disruptions_lagged,avg_recovery_time_lagged,inventory_buffer_days,num_active_contracts,transport_mode,labor_strike_history,archetype,risk_level
Slovenia,Eastern Europe,0.82,65.0,0.6,58.0,0.0,0,0,81.7,1594,0,4,spot,1.0,3,Tier 2,2,89.2,1,0,44.5,1.37,-1.3,26.7,1.4,909,89.1,4,2.7,85.8,69.0,0,0.0,24,6,sea,0,1,0
Lithuania,Eastern Europe,0.74,62.5,0.3,65.0,0.0,0,0,70.8,1280,0,12,long-term,9.9,4,Tier 3,2,76.3,1,0,54.5,1.12,5.7,52.1,0.4,5,97.2,3,2.9,98.9,76.3,1,6.2,29,3,land,0,1,1
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,56.6,3015,0,5,spot,6.3,3,Tier 1,1,78.1,1,0,60.0,0.5,-1.7,20.3,12.8,884,94.8,12,3.5,97.2,77.6,1,1.7,23,3,sea,0,1,0
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,73.2,1154,1,7,long-term,28.2,4,Tier 1,0,80.5,1,1,62.3,1.1,1.8,15.9,4.3,690,90.4,11,1.5,89.1,74.1,1,7.7,8,8,air,0,1,0
Moldova,Eastern Europe,-0.68,22.5,0.2,42.0,0.0,0,0,52.2,3195,0,5,long-term,26.3,4,Tier 1,2,67.4,1,0,80.2,0.75,-0.3,29.3,9.3,1037,85.4,6,2.9,96.2,65.9,0,0.1,25,7,land,1,1,0
Poland,Eastern Europe,0.56,62.5,1.9,53.0,0.0,0,0,77.6,2105,0,8,spot,22.1,3,Tier 2,2,66.8,1,1,72.0,0.51,-5.0,34.7,-3.7,290,89.0,5,2.5,91.5,78.7,0,0.0,16,9,air,0,1,1
Ukraine,Eastern Europe,-1.43,35.0,1.9,36.0,100.0,0,1,87.9,3028,0,7,long-term,11.9,4,Tier 1,2,78.1,1,0,62.6,0.82,0.8,24.3,0.9,1131,89.3,8,1.1,97.0,77.4,1,2.5,22,2,air,0,1,3
Moldova,Eastern Europe,-0.68,22.5,0.2,42.0,0.0,0,0,93.4,3050,0,8,long-term,34.1,3,Tier 1,0,70.5,1,0,80.1,0.33,-3.9,39.8,9.7,1076,95.0,24,2.8,92.2,76.1,0,11.2,23,4,land,0,1,0
Spain,Western Europe,0.29,70.0,2.9,55.0,0.0,0,0,50.1,2996,0,7,long-term,8.1,2,Tier 3,1,85.0,1,0,58.2,0.77,9.6,18.5,11.3,570,99.8,10,0.7,96.4,71.4,1,0.8,24,8,land,0,1,0
Czechia,Eastern Europe,0.97,50.0,1.2,59.0,0.0,0,0,63.7,3582,0,4,long-term,6.4,3,Tier 2,1,81.8,1,1,59.2,0.96,1.1,7.3,11.8,467,86.7,10,2.4,92.7,77.3,0,0.0,26,5,sea,0,1,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,81.1,3002,0,7,long-term,3.4,4,Tier 2,0,68.8,1,0,71.2,0.93,11.6,35.7,15.6,807,85.3,17,4.0,95.0,82.7,0,4.4,26,11,land,0,1,0
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,0,71.9,3030,0,9,long-term,7.1,2,Tier 3,2,88.3,1,0,74.9,0.52,-1.3,21.6,9.5,511,90.4,12,0.0,85.6,76.0,1,1.3,30,15,sea,0,1,0
Romania,Eastern Europe,0.37,47.5,1.6,45.0,0.0,0,0,50.0,3207,0,9,long-term,1.0,1,Tier 1,2,83.7,1,0,62.6,0.56,4.2,24.3,3.7,818,83.5,19,1.7,88.0,67.2,0,5.2,19,7,land,0,1,1
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,0,56.2,1885,0,6,long-term,15.1,5,Tier 2,1,78.6,1,0,63.5,0.4,4.1,8.5,0.4,1162,86.4,19,2.5,84.0,77.8,1,4.4,28,11,land,0,1,0
Moldova,Eastern Europe,-0.68,22.5,0.2,42.0,0.0,0,0,63.8,2350,0,7,spot,33.8,2,Tier 1,2,72.6,1,0,55.2,0.4,2.9,52.2,5.9,782,89.3,14,1.6,96.5,78.6,0,3.8,24,4,sea,0,1,1
Slovenia,Eastern Europe,0.82,65.0,0.6,58.0,0.0,0,0,66.2,1863,1,8,long-term,16.8,3,Tier 2,1,84.7,1,0,100.0,0.92,5.8,34.0,13.0,822,95.1,6,3.5,91.8,78.0,0,0.0,31,8,sea,0,1,0
Poland,Eastern Europe,0.56,62.5,1.9,53.0,0.0,0,0,76.2,1087,0,6,long-term,1.0,2,Tier 2,0,79.3,1,1,60.3,0.68,-4.6,34.3,14.8,1538,91.5,17,0.0,100.0,78.7,0,2.6,28,10,air,0,1,0
Japan,East Asia,0.95,80.0,7.4,71.0,0.0,0,0,62.6,1422,0,5,long-term,27.7,5,Tier 1,0,71.1,0,0,77.5,0.58,-3.2,40.7,5.5,1219,79.8,13,4.9,91.2,72.6,4,6.5,30,2,sea,1,1,1
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,0,90.7,2597,0,7,long-term,19.8,3,Tier 1,0,71.8,1,0,70.2,0.51,-2.9,32.7,14.9,626,79.1,16,3.5,85.1,75.1,0,7.3,31,8,air,2,1,0
Belarus,Eastern Europe,-0.73,42.5,0.4,31.0,0.0,0,0,64.8,804,0,7,spot,2.2,4,Tier 2,1,88.8,1,1,71.4,1.47,-4.6,16.5,10.3,779,97.6,12,0.7,91.9,64.8,1,0.0,28,1,air,0,1,0
Bulgaria,Eastern Europe,0.34,52.5,1.5,40.0,0.0,0,0,87.7,2582,0,3,spot,7.7,3,Tier 2,1,77.7,0,1,59.8,0.49,2.3,35.7,4.8,166,90.0,16,4.0,94.4,65.1,3,3.0,29,7,land,0,1,1
Lithuania,Eastern Europe,0.74,62.5,0.3,65.0,0.0,0,0,74.1,928,0,7,long-term,19.2,3,Tier 3,2,83.5,1,1,58.6,0.8,2.4,21.8,-3.3,1109,93.6,28,3.6,99.7,63.5,0,0.0,39,10,land,0,1,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,67.1,3419,0,9,long-term,1.0,3,Tier 1,2,83.0,1,0,47.5,0.43,-3.7,30.3,3.9,888,90.5,3,0.0,93.0,69.4,1,2.3,35,7,sea,0,1,0
Belarus,Eastern Europe,-0.73,42.5,0.4,31.0,0.0,0,0,77.4,3664,0,5,long-term,23.3,2,Tier 1,1,86.0,1,0,60.7,0.98,-1.5,19.9,9.8,740,93.9,5,2.8,89.7,67.9,0,2.5,25,14,land,1,1,0
Japan,East Asia,0.95,80.0,7.4,71.0,0.0,0,0,73.3,1942,0,7,long-term,7.9,3,Tier 2,2,73.5,1,0,49.0,0.57,-5.0,21.6,8.9,248,90.1,12,1.6,90.6,76.0,0,7.3,17,8,land,0,1,0
Italy,Western Europe,0.58,70.0,6.5,53.0,0.0,0,0,75.0,2102,0,6,spot,30.3,4,Tier 3,0,83.2,1,0,85.1,0.78,2.8,39.0,1.3,567,82.6,4,4.9,96.5,65.8,0,11.0,31,5,land,0,1,0
Croatia,Eastern Europe,0.6,50.0,1.2,47.0,0.0,0,1,71.9,2181,1,6,long-term,17.5,3,Tier 3,2,79.9,1,1,57.8,0.55,7.1,29.1,11.4,598,86.0,25,0.0,90.5,75.7,1,9.9,25,5,sea,0,1,3
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,0,62.2,2239,0,9,long-term,15.6,2,Tier 1,0,71.2,1,0,88.5,0.76,-4.1,21.6,3.7,395,95.3,17,0.3,96.6,83.2,0,14.5,24,20,land,0,1,0
Japan,East Asia,0.95,80.0,7.4,71.0,0.0,0,1,54.2,2309,0,4,long-term,29.5,3,Tier 3,1,75.9,1,0,65.9,1.23,1.3,7.9,5.1,748,90.3,15,1.2,86.7,68.0,1,2.4,32,11,sea,1,1,3
Bulgaria,Eastern Europe,0.34,52.5,1.5,40.0,0.0,0,0,61.7,2874,1,8,long-term,21.5,2,Tier 3,0,88.3,1,0,71.1,0.11,6.0,41.5,5.1,1108,90.1,17,0.0,100.0,83.0,0,3.6,20,5,air,0,1,0
China,East Asia,-0.51,75.0,30.2,43.0,0.0,0,0,76.1,3423,0,6,long-term,1.0,3,Tier 2,1,80.6,1,1,82.9,0.51,-0.6,21.0,4.0,381,92.5,14,4.0,84.2,68.3,0,9.0,26,9,sea,0,1,1
Serbia,Eastern Europe,-0.04,35.0,1.5,33.0,0.0,0,0,72.9,1827,0,8,long-term,5.6,4,Tier 2,2,77.8,1,0,71.3,0.37,11.3,48.8,5.8,549,90.1,16,3.9,95.9,74.6,1,12.5,25,10,land,0,1,1
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,55.3,790,1,6,long-term,9.5,1,Tier 3,2,71.3,1,0,78.2,0.0,5.3,25.1,1.5,572,84.6,10,2.0,90.9,70.5,0,6.3,20,11,sea,0,1,1
Japan,East Asia,0.95,80.0,7.4,71.0,0.0,0,0,70.9,2269,1,5,long-term,4.8,3,Tier 2,0,79.2,1,0,79.6,1.07,3.2,24.4,10.7,902,87.9,7,0.0,93.8,73.5,1,10.7,23,13,sea,0,1,0
Croatia,Eastern Europe,0.6,50.0,1.2,47.0,0.0,1,0,57.4,3177,0,8,long-term,7.8,3,Tier 3,0,99.1,1,1,67.6,0.47,-5.0,19.3,-4.8,427,92.8,12,5.5,91.1,71.3,0,10.3,17,3,sea,0,1,4
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,72.8,3682,0,9,spot,1.0,2,Tier 1,1,66.8,1,0,57.7,1.43,5.6,25.4,3.8,331,90.4,16,0.8,93.5,71.8,1,11.9,33,6,sea,0,1,1
Spain,Western Europe,0.29,70.0,2.9,55.0,0.0,0,0,72.2,1671,0,8,long-term,14.2,4,Tier 2,1,77.8,1,0,65.4,1.21,-1.0,25.5,10.4,793,96.8,9,3.9,84.7,64.3,1,11.4,26,8,land,0,1,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,1,0,95.2,2978,0,11,long-term,11.2,2,Tier 1,0,77.7,1,1,74.1,0.08,-2.4,31.4,9.1,892,87.1,6,1.2,94.2,82.9,0,0.0,37,4,land,0,1,4
Poland,Eastern Europe,0.56,62.5,1.9,53.0,0.0,0,0,67.0,3088,0,1,long-term,10.8,4,Tier 3,1,84.3,1,0,65.3,1.5,-5.0,25.3,5.2,688,94.6,32,2.7,93.1,67.4,0,0.0,27,14,land,0,1,1
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,0,72.1,2970,0,6,long-term,4.2,3,Tier 2,0,67.9,1,0,78.3,0.45,-4.6,5.9,15.2,733,88.0,10,0.0,96.1,86.0,0,1.1,30,17,sea,0,1,0
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,61.3,2611,1,7,long-term,1.1,2,Tier 2,1,75.9,1,1,66.1,1.04,-1.1,23.1,-4.1,303,100.0,22,2.1,100.0,73.0,0,3.8,30,10,land,1,1,0
Bulgaria,Eastern Europe,0.34,52.5,1.5,40.0,0.0,0,0,66.9,4107,0,5,spot,1.0,5,Tier 2,1,71.7,1,0,73.6,0.31,3.5,21.4,-0.2,348,90.3,17,3.6,86.8,72.2,1,7.4,24,13,land,1,1,1
Mongolia,East Asia,0.59,32.5,1.6,31.0,0.0,0,0,52.5,2601,0,10,long-term,15.6,2,Tier 3,1,67.0,1,0,77.3,0.77,6.4,27.6,7.2,1049,94.1,11,4.0,81.2,86.3,0,0.0,37,3,air,0,1,1
Romania,Eastern Europe,0.37,47.5,1.6,45.0,0.0,0,0,62.8,1805,0,6,long-term,34.9,2,Tier 2,0,77.4,1,0,69.6,0.78,2.9,33.1,2.0,1120,89.8,4,2.3,88.7,78.0,1,16.0,17,10,sea,0,1,1
Slovenia,Eastern Europe,0.82,65.0,0.6,58.0,0.0,0,0,54.4,2358,0,9,spot,4.3,2,Tier 1,2,88.3,1,0,60.9,0.99,-5.0,42.3,11.0,763,90.3,18,1.9,91.6,80.8,1,15.5,21,10,sea,0,1,0
Spain,Western Europe,0.29,70.0,2.9,55.0,0.0,0,0,62.9,3917,0,9,spot,1.0,4,Tier 2,1,78.0,1,0,58.7,1.22,-0.2,39.3,4.8,761,88.5,6,0.0,87.7,72.1,0,6.1,25,6,land,0,1,0
Belarus,Eastern Europe,-0.73,42.5,0.4,31.0,0.0,0,0,67.2,269,0,7,long-term,38.9,2,Tier 1,0,79.1,1,0,68.8,0.89,4.5,35.9,11.8,676,96.5,11,1.0,91.0,75.6,2,10.4,14,8,land,0,1,1
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,81.8,2832,0,5,spot,22.4,3,Tier 1,1,77.2,1,0,82.7,0.91,-3.2,34.8,1.4,961,93.7,6,1.9,99.1,62.6,0,6.5,29,12,land,0,1,0
Ukraine,Eastern Europe,-1.43,35.0,1.9,36.0,100.0,0,0,69.9,1718,0,9,long-term,1.0,2,Tier 3,1,83.5,0,1,74.5,0.43,-3.6,25.1,13.6,1044,85.4,5,3.9,87.3,77.1,0,1.9,25,12,sea,0,1,1
Bulgaria,Eastern Europe,0.34,52.5,1.5,40.0,0.0,0,0,76.8,2390,0,9,long-term,22.6,3,Tier 2,2,79.0,0,0,58.2,0.43,4.9,36.0,11.6,1171,90.7,19,1.5,97.5,75.2,0,7.2,32,18,air,0,1,0
Mongolia,East Asia,0.59,32.5,1.6,31.0,0.0,0,1,67.6,2252,1,5,spot,1.0,2,Tier 3,0,78.8,0,0,62.6,0.78,2.4,40.2,7.4,538,84.1,12,1.9,91.7,78.7,0,0.0,24,10,air,1,1,3
Germany,Western Europe,0.59,82.5,2.3,77.0,0.0,0,0,66.5,2130,0,5,long-term,19.7,2,Tier 2,0,72.2,0,1,84.4,0.83,2.0,16.2,-6.0,738,84.7,1,1.5,94.2,78.5,1,10.3,19,7,land,1,1,1
Austria,Western Europe,0.73,72.5,1.0,69.0,0.0,0,0,92.3,1081,1,7,spot,21.7,4,Tier 1,1,74.8,1,1,56.8,0.0,5.1,33.3,1.1,344,94.3,23,1.3,88.6,75.8,3,8.2,24,16,land,1,1,1
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,55.5,3961,0,6,long-term,1.0,2,Tier 1,0,88.1,1,0,73.3,0.23,-5.0,39.6,0.3,474,95.1,12,3.7,97.2,71.3,0,10.1,20,10,land,0,1,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,75.2,1907,0,6,long-term,1.0,2,Tier 1,1,62.0,0,0,85.1,0.44,10.0,25.2,1.6,775,85.2,15,6.7,98.5,73.4,0,10.3,28,7,air,0,1,0
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,72.1,3421,0,8,long-term,8.1,4,Tier 1,0,75.9,1,1,73.3,0.82,-2.3,34.2,5.4,764,86.1,13,1.4,89.2,78.4,2,0.0,22,1,sea,0,1,0
Norway,Western Europe,0.89,72.5,0.5,81.0,0.0,0,0,53.9,3215,0,10,long-term,8.1,3,Tier 1,3,76.9,1,2,77.2,1.26,5.1,22.3,10.4,368,89.9,16,0.0,94.3,75.8,2,0.0,35,8,sea,0,1,0
Mongolia,East Asia,0.59,32.5,1.6,31.0,0.0,0,0,90.5,1646,0,8,spot,3.8,3,Tier 1,0,77.5,1,2,51.9,0.85,1.2,23.3,2.5,737,85.6,11,0.8,90.0,76.1,1,8.3,21,2,air,0,1,1
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,1,84.4,2284,0,8,long-term,25.4,4,Tier 1,2,72.7,1,0,51.9,0.99,7.4,20.1,4.2,211,88.5,13,4.4,100.0,67.8,0,12.3,31,6,air,1,1,3
Japan,East Asia,0.95,80.0,7.4,71.0,0.0,0,0,66.4,1312,0,6,spot,9.2,3,Tier 1,2,69.0,1,0,66.2,0.65,-4.4,39.5,5.5,711,93.0,7,2.7,91.2,68.6,1,7.9,31,6,land,0,1,0
Lithuania,Eastern Europe,0.74,62.5,0.3,65.0,0.0,0,0,86.5,2177,0,6,long-term,11.0,4,Tier 2,0,75.2,1,2,55.4,0.21,3.5,23.0,4.3,1007,94.7,20,0.5,91.3,78.6,1,7.2,34,10,air,0,1,0
Mongolia,East Asia,0.59,32.5,1.6,31.0,0.0,0,0,55.6,1978,0,8,long-term,41.1,3,Tier 1,0,62.0,1,0,63.2,0.75,11.6,33.4,5.4,1065,91.8,22,1.0,87.3,62.0,0,4.5,22,7,air,0,1,1
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,71.1,3607,0,6,spot,8.4,2,Tier 2,1,83.2,1,1,60.4,0.23,3.4,39.2,8.8,710,89.9,1,2.9,96.5,69.8,1,2.7,24,7,sea,1,1,0
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,67.9,2447,1,7,long-term,1.0,3,Tier 1,2,90.9,1,1,82.6,0.09,1.3,51.3,6.9,690,89.7,20,0.6,97.6,72.3,0,1.3,31,1,air,0,1,0
Austria,Western Europe,0.73,72.5,1.0,69.0,0.0,0,0,65.1,2062,1,9,long-term,1.0,3,Tier 1,1,74.3,0,0,68.7,0.65,8.9,14.9,8.7,199,86.8,5,3.2,92.7,73.9,0,0.0,21,6,land,2,1,1
Slovenia,Eastern Europe,0.82,65.0,0.6,58.0,0.0,0,0,79.7,3129,0,8,long-term,2.9,3,Tier 2,1,74.9,0,1,67.3,1.01,5.4,42.2,7.7,883,90.6,9,2.7,100.0,70.3,1,3.8,28,12,land,0,1,1
Lithuania,Eastern Europe,0.74,62.5,0.3,65.0,0.0,0,0,82.6,3307,0,9,long-term,23.3,3,Tier 3,2,66.4,1,1,60.8,1.08,7.6,15.8,6.9,973,84.8,13,3.5,98.3,71.6,0,12.7,23,10,land,0,1,1
Austria,Western Europe,0.73,72.5,1.0,69.0,0.0,0,0,58.8,2562,0,7,long-term,12.0,3,Tier 3,2,76.7,0,1,71.8,1.32,3.4,17.6,11.9,527,92.5,13,2.1,92.2,64.1,1,0.0,36,4,sea,0,1,1
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,67.1,1229,0,10,long-term,13.7,3,Tier 1,3,94.6,1,0,78.8,0.6,6.0,31.5,1.2,791,83.3,14,3.3,98.6,68.3,0,2.3,24,15,land,0,1,0
Mongolia,East Asia,0.59,32.5,1.6,31.0,0.0,0,0,55.6,2159,0,5,long-term,7.4,3,Tier 3,1,74.8,1,0,76.8,0.91,5.3,36.9,6.1,886,88.7,17,2.3,86.1,80.2,0,4.4,30,5,air,0,1,1
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,0,69.2,3174,0,5,long-term,11.2,2,Tier 1,2,83.0,1,1,64.2,1.0,2.1,32.2,2.9,769,94.9,8,3.2,93.3,80.3,0,4.0,30,7,sea,0,1,0
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,83.3,2692,1,6,long-term,8.6,2,Tier 1,1,94.7,1,0,69.2,1.12,5.9,23.6,-1.0,783,83.5,20,1.8,99.0,71.1,0,6.3,24,5,land,0,1,0
Slovenia,Eastern Europe,0.82,65.0,0.6,58.0,0.0,0,0,68.5,3082,0,6,long-term,1.0,4,Tier 1,1,76.0,1,0,62.9,0.76,7.3,13.6,16.0,1054,82.4,14,1.2,91.0,76.1,0,10.3,27,7,sea,0,1,0
Norway,Western Europe,0.89,72.5,0.5,81.0,0.0,0,0,67.0,2800,0,6,spot,33.0,3,Tier 3,0,83.6,1,0,72.2,0.12,-3.8,31.7,8.7,1062,85.6,8,2.7,99.1,75.2,0,0.6,23,11,land,0,1,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,57.0,2229,0,9,long-term,42.1,4,Tier 3,2,65.4,1,1,66.4,0.73,1.2,52.6,4.4,535,91.6,18,0.9,92.3,80.0,1,10.3,36,2,land,1,1,1
Czechia,Eastern Europe,0.97,50.0,1.2,59.0,0.0,0,0,78.8,3243,0,8,spot,45.0,2,Tier 1,2,77.8,1,0,65.1,0.42,-0.2,5.4,-2.4,631,89.0,18,1.1,90.4,71.1,0,4.0,34,14,land,0,1,0
Belarus,Eastern Europe,-0.73,42.5,0.4,31.0,0.0,0,0,57.0,3447,0,7,spot,11.3,2,Tier 2,1,83.4,1,0,73.9,1.16,-3.1,30.6,6.4,732,93.8,13,0.2,96.1,79.0,1,11.6,33,10,land,0,1,1
Germany,Western Europe,0.59,82.5,2.3,77.0,0.0,1,0,56.5,1619,0,8,spot,9.7,2,Tier 2,0,63.6,0,2,65.0,0.69,-1.5,5.0,5.3,617,99.5,16,1.4,93.7,79.4,0,7.6,21,11,sea,0,1,4
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,0,68.3,2669,0,7,long-term,19.2,4,Tier 2,1,77.3,1,0,67.9,0.37,4.6,24.3,13.4,567,91.4,16,3.4,100.0,72.6,0,3.0,24,8,sea,1,1,0
Netherlands,Western Europe,0.66,80.0,1.1,78.0,0.0,0,0,66.8,2785,1,7,spot,1.0,3,Tier 2,0,77.6,1,1,91.1,0.29,7.1,14.9,6.8,993,80.6,11,1.2,89.5,76.3,1,10.6,27,8,land,0,1,1
Moldova,Eastern Europe,-0.68,22.5,0.2,42.0,0.0,0,0,57.8,1848,0,7,long-term,1.0,4,Tier 1,0,87.3,1,0,62.5,0.2,0.8,25.6,7.3,775,86.9,16,1.0,92.2,78.1,1,1.8,22,6,air,1,1,0
Ireland,Western Europe,0.9,62.5,0.8,76.0,0.0,0,0,53.1,1881,0,8,spot,23.7,3,Tier 3,0,61.4,0,2,60.6,0.24,2.4,31.4,-4.0,1106,84.8,9,3.8,93.6,80.6,1,12.8,33,6,land,0,1,1
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,1,81.6,1366,0,6,spot,24.4,2,Tier 2,3,63.9,0,0,74.0,1.5,-5.0,27.4,-0.3,704,87.1,10,0.7,93.8,80.4,1,3.1,33,12,land,0,1,3
Denmark,Western Europe,0.85,77.5,0.4,89.0,0.0,0,0,66.5,1740,0,8,spot,12.2,3,Tier 1,3,75.4,0,0,71.8,0.96,7.5,47.6,3.1,1188,100.0,9,1.7,90.9,77.9,0,0.0,28,7,land,0,1,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,1,72.2,2651,1,4,long-term,10.5,4,Tier 2,2,81.0,0,0,52.9,0.67,8.9,48.9,10.9,603,97.3,17,1.3,90.1,73.0,1,0.0,31,6,land,0,1,3
China,East Asia,-0.51,75.0,30.2,43.0,0.0,1,0,61.6,2786,0,6,long-term,1.0,3,Tier 2,0,80.5,1,1,61.6,0.69,-4.2,45.0,11.3,281,86.7,11,2.1,89.6,67.1,0,7.0,26,6,sea,0,1,4
Denmark,Western Europe,0.85,77.5,0.4,89.0,0.0,0,1,79.6,3454,0,4,spot,9.2,3,Tier 2,0,76.3,1,0,65.9,0.61,3.8,23.5,4.0,1022,89.5,14,0.7,90.8,66.6,1,14.3,37,11,sea,0,1,3
Serbia,Eastern Europe,-0.04,35.0,1.5,33.0,0.0,0,0,64.7,2208,0,7,long-term,6.8,2,Tier 2,2,92.1,1,0,74.2,0.4,-0.8,13.4,-0.7,502,86.0,1,3.3,96.9,75.9,1,0.0,34,7,land,0,1,1
Belgium,Western Europe,0.4,77.5,1.7,69.0,0.0,0,0,69.3,2310,0,5,long-term,2.9,2,Tier 2,2,72.4,1,1,56.3,0.64,-5.0,24.1,6.2,444,88.7,4,2.1,98.3,67.4,1,1.9,19,7,land,1,1,0
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,0,84.9,3272,1,6,spot,7.0,5,Tier 2,1,69.6,1,1,57.8,0.69,1.8,21.7,7.2,670,94.2,19,0.1,93.3,73.7,0,6.0,31,8,sea,0,1,0
Spain,Western Europe,0.29,70.0,2.9,55.0,0.0,0,1,70.0,3457,0,6,long-term,12.2,3,Tier 2,2,81.2,1,0,79.9,0.91,9.6,26.0,-4.3,829,97.4,18,1.0,93.4,70.8,0,0.9,22,12,land,0,1,3
Ireland,Western Europe,0.9,62.5,0.8,76.0,0.0,0,0,76.0,1639,0,10,spot,39.2,3,Tier 2,0,70.6,1,0,72.5,0.61,8.8,26.1,4.9,510,96.2,8,6.752858144661866,93.8,90.1,1,1.7,23,10,land,1,1,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,94.3,3240,0,4,spot,3.4,3,Tier 1,1,72.2,1,0,61.0,1.23,1.3,45.3,15.7,1334,90.7,13,2.6,91.2,76.5,0,0.3,27,11,land,0,1,0
"Hong Kong SAR, China",East Asia,0.67,75.0,0.8,76.0,0.0,0,0,62.2,3232,0,7,long-term,13.2,4,Tier 3,1,94.5,0,0,74.3,0.72,8.8,32.6,10.9,834,90.8,12,1.9,86.6,68.0,0,8.7,27,8,land,0,1,0
Slovenia,Eastern Europe,0.82,65.0,0.6,58.0,0.0,0,0,82.5,906,0,7,long-term,4.3,4,Tier 2,0,76.7,1,2,73.6,0.81,-5.0,28.3,6.9,652,94.5,11,1.4,98.2,71.5,0,5.3,31,13,land,0,1,0
Japan,East Asia,0.95,80.0,7.4,71.0,0.0,1,0,79.9,4949,0,10,spot,1.0,3,Tier 2,0,85.3,1,0,50.9,0.79,9.8,37.6,11.1,460,92.1,3,2.3,99.9,82.5,1,15.2,30,11,land,0,1,4
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,63.8,2343,0,7,long-term,9.6,2,Tier 1,1,66.6,1,1,60.3,1.22,-1.4,29.8,6.0,116,92.2,3,3.0,87.1,77.1,1,2.9,19,8,air,1,1,1
Italy,Western Europe,0.58,70.0,6.5,53.0,0.0,0,0,75.8,2658,0,9,long-term,24.2,2,Tier 2,1,74.1,1,0,58.5,0.43,0.8,25.4,4.5,671,93.9,8,3.8,86.9,77.7,1,13.2,25,9,land,0,1,1
China,East Asia,-0.51,75.0,30.2,43.0,0.0,0,0,54.9,1307,0,8,long-term,18.7,3,Tier 2,2,75.0,1,0,74.8,0.8,8.4,24.1,9.4,162,97.7,19,1.5,95.2,79.3,0,0.0,24,8,air,0,1,1
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,93.8,1975,0,3,long-term,9.1,3,Tier 3,1,62.2,0,0,51.8,0.21,8.5,16.3,-3.1,1261,84.0,13,2.1,78.9,72.4,1,7.2,24,11,land,0,1,1
Czechia,Eastern Europe,0.97,50.0,1.2,59.0,0.0,0,0,78.2,2021,0,8,long-term,1.0,3,Tier 1,3,71.3,1,0,80.1,0.0,3.6,30.3,13.6,786,98.0,7,0.0,89.8,83.5,0,9.6,35,10,sea,1,1,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,1,76.7,2126,0,8,long-term,15.4,2,Tier 1,0,84.8,0,0,43.9,0.88,2.5,30.9,8.5,818,81.0,6,2.5,94.0,69.3,1,8.7,32,9,air,0,1,3
"Macao SAR, China",East Asia,1.07,75.0,0.2,68.0,0.0,0,0,47.8,2684,0,5,long-term,27.4,3,Tier 1,0,66.6,1,0,68.8,0.0,4.2,26.0,-0.6,793,86.3,13,0.9,88.5,73.9,1,0.0,32,12,sea,0,1,0
